text;label
bankruptcy losses merger dividend slash price rating lose;FI
default profits acquisition investor plunge bid deal pay;FI
income estimates balance sheet funding troubled finance business model;FI
surplus gains liquidation share year job quarter month;FI
deficit downgrade solvency drop cost ipo bank sale;FI
results takeover insolvent company operation increase threat management;FI
losses merger dividend slash price rating lose utility;FI
profits acquisition investor plunge bid deal pay bad;FI
estimates balance sheet funding troubled finance business model sell;FI
gains liquidation share year job quarter month major;FI
downgrade solvency drop cost ipo bank sale fund;FI
takeover insolvent company operation increase threat management cut;FI
merger dividend slash price rating lose utility survive;FI
acquisition investor plunge bid deal pay bad market;FI
balance sheet funding troubled finance business model sell day;FI
liquidation share year job quarter month major asset;FI
solvency drop cost ipo bank sale fund flagship;FI
insolvent company operation increase threat management cut drag;FI
dividend slash price rating lose utility survive grounding;FI
investor plunge bid deal pay bad market discount;FI
funding troubled finance business model sell day narrow;FI
share year job quarter month major asset shipment;FI
drop cost ipo bank sale fund flagship spend;FI
company operation increase threat management cut drag scramble;FI
slash price rating lose utility survive grounding heavyweight;FI
plunge bid deal pay bad market discount post;FI
troubled finance business model sell day narrow revenue;FI
year job quarter month major asset shipment steep;FI
cost ipo bank sale fund flagship spend project;FI
operation increase threat management cut drag scramble roughly;FI
price rating lose utility survive grounding heavyweight subscriber;FI
rate negative maker rate fell;IR
interest low yield interest growth;IR
cut federal central cut economist;IR
bank decision negative fell rate;IR
policy fed low growth interest;IR
maker reserve federal economist negative;IR
yield ecb decision bank low;IR
central fell fed policy federal;IR
negative growth reserve maker decision;IR
low economist ecb yield fed;IR
federal rate fell federal reserve;IR
decision interest growth bank;IR
fed cut economist policy;IR
reserve bank rate maker;IR
ecb policy interest fell yield;IR
fell maker cut growth central;IR
growth yield bank economist ecb;IR
economist central policy decision fell;IR
rate fell central fed;IR
interest growth negative reserve interest;IR
cut economist low fell negative;IR
bank rate federal growth low;IR
policy interest decision economist federal;IR
maker cut fed decision;IR
yield bank reserve fed;IR
central policy ecb reserve;IR
negative maker fell economist bank;IR
maker interest fell cut;IR
yield cut growth bank;IR
central bank economist policy;IR
ecb policy negative fed yield;IR
growth indicator slow rate reprieve deliver study business;MD
industrial economy debt diminish sight alternative sign outlook;MD
expect forecast economic bubble restructuring decline note contraction;MD
inflation weaken spending enter activity gauge surplus possibly;MD
gdp fall slowdown headwind lack momentum situation less;MD
output cut market expectation bad stimulus worse pattern;MD
indicator slow rate reprieve deliver study business scenario;MD
economy debt diminish sight alternative sign outlook option;MD
forecast economic bubble restructuring decline note contraction hold;MD
weaken spending enter activity gauge surplus possibly least;MD
fall slowdown headwind lack momentum situation less unemployment;MD
cut market expectation bad stimulus worse pattern suffer;MD
slow rate reprieve deliver study business scenario weak;MD
debt diminish sight alternative sign outlook option rally;MD
economic bubble restructuring decline note contraction hold strategist;MD
