id,text,label
"1168544108555767809","b'After the #1MDB scandal shook #Malaysia, @BNM_official has been working on guideline #revisions on #MoneyLaundering\xe2\x80\xa6 https://t.co/igDJKmevFr'","MoneyLaundering"
"1168543606237519873","b'@bettypge69 @lavoz_latino @BoricuaTimes @Slate @voxdotcom @thehill @Wonkette @axios @JuddLegum @CyrusToulabi\xe2\x80\xa6 https://t.co/zcbLcfWdKd'","MoneyLaundering"
"1168542960679608320","b'If you like timelines &amp; chronologies, this one on trump\xe2\x80\x99s long business history with Russia &amp; their oligarchs is qu\xe2\x80\xa6 https://t.co/O1dLwYDa3S'","MoneyLaundering"
"1168542916727451648","b'RT @BaaghiTV: Money Laundering Case: Sofia Mirza caught between devil and deep sea\nhttps://t.co/WJbvOK8Lof\n#moneylaundering https://t.co/vx\xe2\x80\xa6'","MoneyLaundering"
"1168540971300208649","b'A half million dollars-worth of #counterfeitgoods were seized in Mong Kok, HK, all wallets, belts and purses, lendi\xe2\x80\xa6 https://t.co/JUOWewDKFZ'","MoneyLaundering"
"1168539922669670400","b""RT @lizzie_eldridge: Latvian bank had identified payments to #17Black as \xe2\x80\x9csuspicious\xe2\x80\x9d\n@keithaschembri\nWe're never going to forget you...\nHo\xe2\x80\xa6""","MoneyLaundering"
"1168539919381409794","b'RT @sood_anu: BTG sheds $4B in value over two days on police probe https://t.co/bdbiGCpVuK #moneylaundering'","MoneyLaundering"
"1168538794552942598","b'RT @KYC360: Length of UK Prison Terms for Money Launderers at Record High in 2018: Report https://t.co/7aGfISBnwT #UK #moneylaundering #pri\xe2\x80\xa6'","MoneyLaundering"
"1168538767449296896","b'RT @KYC360: Latvia submits technical report on implementation of Moneyval recommendations https://t.co/ifstI9vXNJ #AML #Moneyval #Latvia #c\xe2\x80\xa6'","MoneyLaundering"
"1168538049027817472","b'RT @PalbergWERX: Municipal governments were equally as responsible for #moneylaundering as the Provincial and Federal governments.\n\nLisa ma\xe2\x80\xa6'","MoneyLaundering"
"1168537697406922753","b'RT @euromoney: Europe\xe2\x80\x99s fines for #banks which breach #moneylaundering rules are rising, but will they ever reach US levels? @SvenStumbauer\xe2\x80\xa6'","MoneyLaundering"
"1168537533522857986","b""Latvian bank had identified payments to #17Black as \xe2\x80\x9csuspicious\xe2\x80\x9d\n@keithaschembri\nWe're never going to forget you...\xe2\x80\xa6 https://t.co/V5q3yxl07H""","MoneyLaundering"
"1168537367713636353","b""@MzwaneleManyi It's starts because people see that criminals like you get away with crime. #looter #moneylaundering\xe2\x80\xa6 https://t.co/CJSSvSTxeP""","MoneyLaundering"
"1168537014075088897","b'RT @euromoney: What should you do when your bank faces a big #moneylaundering crisis? Actions by @DanskeBank_DK @Swedbank show some answers\xe2\x80\xa6'","MoneyLaundering"
"1168536606774648833","b'What should you do when your bank faces a big #moneylaundering crisis? Actions by @DanskeBank_DK @Swedbank show som\xe2\x80\xa6 https://t.co/SLe6wTELBY'","MoneyLaundering"
"1168536110676500480","b'Europe\xe2\x80\x99s fines for #banks which breach #moneylaundering rules are rising, but will they ever reach US levels?\xe2\x80\xa6 https://t.co/Ja0roVCwlG'","MoneyLaundering"
"1168535942866489344","b'RT @PalbergWERX: Municipal governments were equally as responsible for #moneylaundering as the Provincial and Federal governments.\n\nLisa ma\xe2\x80\xa6'","MoneyLaundering"
"1168535791842320386","b'RT @ehamiltonsmyth: Sour Blood: A psychological suspense thriller with a shocking twist\nhttps://t.co/LZpVG2Ecq9 \n\n#Psychological #NoirFicti\xe2\x80\xa6'","MoneyLaundering"
"1168533839104360454","b'RT @euromoney: Will we finally see a big #bank CEO go to #jail after the latest wave of #moneylaundering scandals? | https://t.co/CUhgOczxX\xe2\x80\xa6'","MoneyLaundering"
